Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Ribavirin*,Ribavirin,9344.0,J05AP,Antivirals for treatment of HCV infections,Anti-infectives for systemic use,West Nile Fever,exact
Ridaura,Auranofin,202952.0,M01CB,Gold preparations,Musculo-skeletal system,Pemphigus,exact
Rifabutin,Rifabutin,55672.0,A02BD,Combinations for eradication of Helicobacter pylori,Alimentary tract and metabolism,"Tuberculosis, Pulmonary",exact
Rifadin*,Rifampin,202953.0,J04AB,Antibiotics,Anti-infectives for systemic use,Leprosy,exact
Rifampin*,Rifampin,9384.0,J04AM,Combinations of drugs for treatment of tuberculosis,Anti-infectives for systemic use,Leprosy,exact
Riluzole,Riluzole,35623.0,N07XX,Other nervous system drugs,Nervous system,Amyotrophic Lateral Sclerosis,exact
Rimantadine HCl,Rimantadine HCl,82093.0,J05AC,Cyclic amines,Anti-infectives for systemic use,"Influenza, Human",exact
Rimso-50,Dimethyl Sulfoxide,93962.0,G04BX,Other urologicals,Genito-urinary system and sex hormones,,exact
Rinvoq,Upadacitinib,2196895.0,L04AF,Janus-associated kinase (JAK) inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Rheumatoid",exact
Risedronate Sodium,Risedronate Sodium,60334.0,,,,"Paget Disease, Extramammary",exact
Risedronate Sodium Dr,Risedronate Sodium,60334.0,,,,"Paget Disease, Extramammary",approx
Risperdal,Risperidone,152318.0,N05AX,Other antipsychotics,Nervous system,Dementia,exact
Risperdal Consta,Risperidone Microspheres,402081.0,,,,,approx
Risperidone,Risperidone,35636.0,N05AX,Other antipsychotics,Nervous system,Dementia,exact
Risperidone ER,Risperidone Microspheres,35636.0,N05AX,Other antipsychotics,Nervous system,Dementia,approx
Risperidone ODT,Risperidone,402348.0,N05AX,Other antipsychotics,Nervous system,Dementia,approx
Ritalin,Methylphenidate HCl,224917.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Ritalin La,Methylphenidate HCl,352953.0,,,,Narcolepsy,approx
Ritonavir,Ritonavir,85762.0,J05AP,Antivirals for treatment of HCV infections,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Rituxan,Rituximab,226754.0,L01FA,CD20 (Clusters of Differentiation 20) inhibitors,Antineoplastic and immunomodulating agents,"Lymphoma, B-Cell",exact
Rituxan Hycela,"Rituximab/Hyaluronidase,Human",1927886.0,L01FA,CD20 (Clusters of Differentiation 20) inhibitors,Antineoplastic and immunomodulating agents,"Lymphoma, B-Cell",exact
Rivastigmine,Rivastigmine,183379.0,N06DA,Anticholinesterases,Nervous system,Alzheimer Disease,exact
Rivelsa,L-Norgest/E.Estradiol-E.Estrad,1922302.0,,,,,approx
Rizatriptan,Rizatriptan Benzoate,237082.0,N02CC,Selective serotonin (5HT1) agonists,Nervous system,Migraine Disorders,exact
Rocaltrol,Calcitriol,152323.0,A11CC,Vitamin D and analogues,Alimentary tract and metabolism,Rickets,exact
Rocklatan,Netarsudil Mesylat/Latanoprost,2119702.0,S01EX,Other antiglaucoma preparations,Sensory organs,Ocular Hypertension,exact
Roflumilast,Roflumilast,1091836.0,D05AX,Other antipsoriatics for topical use,Dermatologicals,"Pulmonary Disease, Chronic Obstructive",exact
Rolvedon,Eflapegrastim-Xnst,2612543.0,L03AA,Colony stimulating factors,Antineoplastic and immunomodulating agents,,exact
Ropinirole ER,Ropinirole HCl,799053.0,N04BC,Dopamine agonists,Nervous system,Parkinson Disease,approx
Ropinirole HCl,Ropinirole HCl,236553.0,N04BC,Dopamine agonists,Nervous system,Parkinson Disease,exact
Ropivacaine HCl,Ropivacaine HCl/PF,1298851.0,N01BB,Amides,Nervous system,Postoperative Pain,exact
Rosuvastatin Calcium,Rosuvastatin Calcium,323828.0,C10AA,HMG CoA reductase inhibitors,Cardiovascular system,Hypercholesterolemia,exact
Rosuvastatin-Ezetimibe,Ezetimibe/Rosuvastatin Calcium,2535748.0,C10BA,Combinations of various lipid modifying agents,Cardiovascular system,Hypercholesterolemia,exact
Rowasa,Mesalamine W/Cleansing Wipes,202834.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,Proctitis,exact
Roweepra,Levetiracetam,1731015.0,N03AX,Other antiepileptics,Nervous system,"Epilepsies, Partial",exact
Roxicodone,Oxycodone HCl,219740.0,N02AA,Natural opium alkaloids,Nervous system,Postoperative Pain,exact
Roxybond,Oxycodone HCl,1944530.0,N02AA,Natural opium alkaloids,Nervous system,Postoperative Pain,exact
Rozerem,Ramelteon,603159.0,N05CH,Melatonin receptor agonists,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Rozlytrek,Entrectinib,2197868.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Non-Small-Cell Lung",exact
Rubraca,Rucaparib Camsylate,1862585.0,L01XK,Poly (ADP-ribose) polymerase (PARP) inhibitors,Antineoplastic and immunomodulating agents,Ovarian Neoplasms,exact
Ruconest,"C1 Esterase Inhibitor, Recomb",1599837.0,B06AC,Drugs used in hereditary angioedema,Blood and blood forming organs,"Angioedemas, Hereditary",exact
Rufinamide,Rufinamide,69036.0,N03AF,Carboxamide derivatives,Nervous system,Seizures,exact
Rukobia,Fostemsavir Tromethamine,2380540.0,J05AX,Other antivirals,Anti-infectives for systemic use,HIV Infections,exact
Ruxience,Rituximab-Pvvr,2273513.0,L01FA,CD20 (Clusters of Differentiation 20) inhibitors,Antineoplastic and immunomodulating agents,"Lymphoma, B-Cell",exact
Ryaltris,Olopatadine HCl/Mometasone,2591807.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Pruritus,exact
Rybelsus,Semaglutide,2200645.0,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Alimentary tract and metabolism,,exact
Rybrevant,Amivantamab-Vmjw,2549735.0,L01FX,Other monoclonal antibodies and antibody drug conjugates,Antineoplastic and immunomodulating agents,"Carcinoma, Non-Small-Cell Lung",exact
Ryclora,Dexchlorpheniramine Maleate,2058851.0,R06AB,Substituted alkylamines,Respiratory system,Angioedema,exact
Rydapt,Midostaurin,1919089.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,Hematologic Neoplasms,exact
Rystiggo,Rozanolixizumab-Noli,2642290.0,L04AG,Monoclonal antibodies,Antineoplastic and immunomodulating agents,Myasthenia Gravis,exact
Rytary,Carbidopa/Levodopa,1599245.0,N04BA,Dopa and dopa derivatives,Nervous system,Parkinson Disease,exact
Ryvent,Carbinoxamine Maleate,1869878.0,R06AA,Aminoalkyl ethers,Respiratory system,Angioedema,exact
Sabril,Vigabatrin,152332.0,N03AG,Fatty acid derivatives,Nervous system,"Spasms, Infantile",exact
Safety Pen Needle,"Pen Needle, Diabetic, Safety",1192463.0,,,,,approx
Safetyglide Insulin Syringe,"Syringe And Needle,Insulin,1ml",2268522.0,,,,,approx
Safetyglide Syringe,"Syringe And Needle,Insulin,1ml",2681364.0,,,,,approx
Safyral,Drospir/Eth Estra/Levomefol Ca,1088219.0,,,,,approx
Saizen,Somatropin,202830.0,H01AC,Somatropin and somatropin agonists,Systemic hormonal preparations,Cachexia,exact
Saizen-Saizenprep,Somatropin,897044.0,H01AC,Somatropin and somatropin agonists,Systemic hormonal preparations,Cachexia,approx
Sajazir,Icatibant Acetate,2569476.0,B06AC,Drugs used in hereditary angioedema,Blood and blood forming organs,"Angioedemas, Hereditary",exact
Salagen,Pilocarpine HCl,202959.0,N07AX,Other parasympathomimetics,Nervous system,Mydriasis,exact
Salicylic Acid,Salicylic Acid,1006911.0,D01AE,Other antifungals for topical use,Dermatologicals,Headache,exact
Salsalate,Salsalate,36108.0,N02BA,Salicylic acid and derivatives,Nervous system,Pain,exact
Samsca,Tolvaptan,849828.0,C03XA,Vasopressin antagonists,Cardiovascular system,Hyponatremia,exact
Sancuso,Granisetron,807264.0,A04AA,Serotonin (5HT3) antagonists,Alimentary tract and metabolism,,exact
Sandimmune*,Cyclosporine,202816.0,L04AD,Calcineurin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Sandostatin,Octreotide Acetate,196457.0,H01CB,Somatostatin and analogues,Systemic hormonal preparations,Adenoma,exact
Sandostatin Lar Depot,"Octreotide Acetate,Mi-Spheres",352968.0,,,,,approx
Santyl,Collagenase Clostridium Hist.,219803.0,D03BA,Proteolytic enzymes,Dermatologicals,Burns,exact
Saphnelo,Anifrolumab-Fnia,2565282.0,L04AG,Monoclonal antibodies,Antineoplastic and immunomodulating agents,"Lupus Vasculitis, Central Nervous System",exact
Saphris,Asenapine Maleate,859976.0,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Nervous system,Schizophrenia,exact
Sapropterin Dihydrochloride,Sapropterin Dihydrochloride,753340.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,Phenylketonurias,exact
Sarclisa,Isatuximab-Irfc,2282024.0,L01FC,CD38 (Clusters of Differentiation 38) inhibitors,Antineoplastic and immunomodulating agents,Multiple Myeloma,exact
Savaysa,Edoxaban Tosylate,1599544.0,B01AF,Direct factor Xa inhibitors,Blood and blood forming organs,Venous Thrombosis,exact
Savella,Milnacipran HCl,833136.0,N06AX,Other antidepressants,Nervous system,Major Depressive Disorder,exact
Saxagliptin HCl,Saxagliptin HCl,1043560.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Saxagliptin-Metformin ER,Saxagliptin HCl/Metformin HCl,6809.0,A10BD,Combinations of oral blood glucose lowering drugs,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Saxenda,Liraglutide,1598264.0,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Alimentary tract and metabolism,,exact
Scemblix,Asciminib Hydrochloride,2584321.0,L01EA,BCR-ABL tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,"Leukemia, Myeloid",exact
Scopolamine,Scopolamine,56092.0,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",Alimentary tract and metabolism,Peptic Ulcer,exact
Se-Natal 19,PNV No.118/Iron Fumarate/FA,880894.0,,,,,approx
Se-Natal-19,PNV 119/Iron Fum/Folic Acid,880894.0,,,,,approx
Seasonique,L-Norgest/E.Estradiol-E.Estrad,644875.0,,,,,approx
Secuado,Asenapine,2265724.0,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Nervous system,Schizophrenia,exact
Securesafe Pen Needle,"Pen Needle, Diabetic, Safety",2681896.0,,,,,approx
Seglentis,Tramadol HCl/Celecoxib,2588479.0,N02AX,Other opioids,Nervous system,Pain,exact
Segluromet,Ertugliflozin/Metformin,1992686.0,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Alimentary tract and metabolism,,exact
Selegiline HCl,Selegiline HCl,203137.0,N04BD,Monoamine oxidase B inhibitors,Nervous system,Schizophrenia,exact
Selenium Sulfide,Selenium Sulfide,36345.0,D01AE,Other antifungals for topical use,Dermatologicals,Dandruff,exact
Selzentry,Maraviroc,728648.0,J05AX,Other antivirals,Anti-infectives for systemic use,HIV Infections,exact
Semglee (Yfgn),Insulin Glargine-Yfgn,2658492.0,A10AE,"Insulins and analogues for injection, long-acting",Alimentary tract and metabolism,Hyperglycemia,approx
Semglee (Yfgn) Pen,Insulin Glargine-Yfgn,2658591.0,A10AE,"Insulins and analogues for injection, long-acting",Alimentary tract and metabolism,Hyperglycemia,approx
Sensipar,Cinacalcet HCl,460392.0,H05BX,Other anti-parathyroid agents,Systemic hormonal preparations,Parathyroid Neoplasms,exact
Sensorcaine,Bupivacaine HCl,202942.0,N01BB,Amides,Nervous system,Postoperative Pain,exact
Sensorcaine-MPF,Bupivacaine HCl/PF,219872.0,,,,,approx
Serevent Diskus,Salmeterol Xinafoate,219880.0,,,,Asthma,approx
Seroquel,Quetiapine Fumarate,83553.0,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Nervous system,Schizophrenia,exact
Seroquel XR,Quetiapine Fumarate,2633850.0,,,,Schizophrenia,approx
Serostim,Somatropin,744286.0,H01AC,Somatropin and somatropin agonists,Systemic hormonal preparations,Cachexia,exact
Sertraline HCl,Sertraline HCl,155137.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,exact
Setlakin,Levonorgestrel/Ethin.Estradiol,1724242.0,,,,,approx
Sevelamer Carbonate,Sevelamer Carbonate,660890.0,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Various,Hyperphosphatemia,exact
Sevelamer HCl,Sevelamer HCl,214824.0,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Various,Hyperphosphatemia,exact
Seysara,Sarecycline HCl,2059024.0,J01AA,Tetracyclines,Anti-infectives for systemic use,Acne Vulgaris,exact
Sf,Fluoride (Sodium),262253.0,,,,,approx
Sf 5000 Plus,Fluoride (Sodium),352964.0,,,,,approx
Sfrowasa,Mesalamine,880934.0,,,,Proctitis,approx
Sharobel,Norethindrone,1593438.0,,,,Menorrhagia,approx
Shingrix,Varicella-Zoster Ge/As01b/PF,1986826.0,,,,,exact
Signifor,Pasireotide Diaspartate,1364110.0,H01CB,Somatostatin and analogues,Systemic hormonal preparations,Cushing Syndrome,exact
Signifor Lar,Pasireotide Pamoate,1601443.0,,,,Cushing Syndrome,approx
Siklos,Hydroxyurea,1999309.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Melanoma,exact
Sildenafil Citrate,Sildenafil Citrate,136411.0,G04BE,Drugs used in erectile dysfunction,Genito-urinary system and sex hormones,"Hypertension, Pulmonary",exact
Silenor,Doxepin HCl,966788.0,D04AX,Other antipruritics,Dermatologicals,Pain,exact
Siliq,Brodalumab,1872257.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Silodosin,Silodosin,720825.0,G04CA,Alpha-adrenoreceptor antagonists,Genito-urinary system and sex hormones,Prostatic Hyperplasia,exact
Silvadene,Silver Sulfadiazine,224926.0,D06BA,Sulfonamides,Dermatologicals,Wound Infection,exact
Silver Nitrate,Silver Nitrate,1306066.0,,,,,exact
Silver Sulfadiazine,Silver Sulfadiazine,9793.0,D06BA,Sulfonamides,Dermatologicals,Wound Infection,exact
Simbrinza,Brinzolamide/Brimonidine Tart,1421452.0,D11AX,Other dermatologicals,Dermatologicals,"Glaucoma, Open-Angle",exact
Simpesse,L-Norgest/E.Estradiol-E.Estrad,2171108.0,,,,,approx
Simponi,Golimumab,848161.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Rheumatoid",exact
Simponi Aria,Golimumab,1431643.0,,,,"Arthritis, Rheumatoid",approx
Simvastatin,Simvastatin,36567.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,Hypercholesterolemia,exact
Sinemet 10-100,Carbidopa/Levodopa,724606.0,N04BA,Dopa and dopa derivatives,Nervous system,Parkinson Disease,approx
Sinemet 25-100,Carbidopa/Levodopa,724598.0,N04BA,Dopa and dopa derivatives,Nervous system,Parkinson Disease,approx
Single Use Swab,Alcohol Antiseptic Pads,2634160.0,,,,,approx
Singulair,Montelukast Sodium,153889.0,R03DC,Leukotriene receptor antagonists,Respiratory system,Asthma,exact
Sirolimus,Sirolimus,35302.0,L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors,Antineoplastic and immunomodulating agents,Lymphangioleiomyomatosis,exact
Sirturo,Bedaquiline Fumarate,1364510.0,J04AK,Other drugs for treatment of tuberculosis,Anti-infectives for systemic use,"Tuberculosis, Multidrug-Resistant",exact
Sitavig,Acyclovir,1493270.0,D06BB,Antivirals,Dermatologicals,Chickenpox,exact
Sivextro*,Tedizolid Phosphate,1540863.0,J01XX,Other antibacterials,Anti-infectives for systemic use,Streptococcal Infections,exact
Sky Safety Pen Needle,"Pen Needle, Diabetic, Safety",2681919.0,,,,,approx
Skyclarys,Omaveloxolone,2631937.0,N07XX,Other nervous system drugs,Nervous system,Friedreich Ataxia,exact
Skyla,Levonorgestrel,1366335.0,G03AC,Progestogens,Genito-urinary system and sex hormones,,exact
Skyrizi On-Body,Risankizumab-Rzaa,2613759.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,approx
Skyrizi Pen,Risankizumab-Rzaa,2562250.0,,,,Psoriasis,approx
Skyrizi*,Risankizumab-Rzaa,2166138.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Slynd,Drospirenone,2183107.0,,,,,approx
Smoflipid,Fat Emul/Soy/Mct/Oliv/Fish Oil,1807799.0,,,,,approx
Soaanz,Torsemide,2589872.0,C03CA,"Sulfonamides, plain",Cardiovascular system,Edema,exact
Sod Sulf-Potass Sulf-Mag Sulf,"Sodium, Potassium,Mag Sulfates",1007809.0,A06AD,Osmotically acting laxatives,Alimentary tract and metabolism,,approx
Sodium Acetate,Sodium Acetate,56443.0,B05XA,Electrolyte solutions,Blood and blood forming organs,Acidosis,exact
Sodium Bicarbonate,Sodium Bicarbonate,36676.0,B05CB,Salt solutions,Blood and blood forming organs,Dyspepsia,exact
Sodium Chloride,Sodium Chloride,9863.0,A12CA,Sodium,Alimentary tract and metabolism,Dehydration,exact
Sodium Chloride*,0.9 % Sodium Chloride,9863.0,A12CA,Sodium,Alimentary tract and metabolism,Dehydration,exact
Sodium Citrate-Citric Acid,Citric Acid/Sodium Citrate,91198.0,A09AB,Acid preparations,Alimentary tract and metabolism,Urinary Calculi,exact
Sodium Fluoride 5000 Dry Mouth,Fluoride (Sodium),630194.0,A01AA,Caries prophylactic agents,Alimentary tract and metabolism,Osteoporosis,approx
Sodium Fluoride 5000 Plus,Fluoride (Sodium),2263915.0,,,,,approx
Sodium Fluoride Enamel Protect,Sodium Fluoride/Potassium Nit,2529745.0,,,,,approx
Sodium Fluoride Sensitive,Sodium Fluoride/Potassium Nit,2388554.0,,,,,approx
Sodium Fluoride*,Fluoride (Sodium),9873.0,A01AA,Caries prophylactic agents,Alimentary tract and metabolism,Osteoporosis,exact
Sodium Oxybate,Sodium Oxybate,9899.0,N01AX,Other general anesthetics,Nervous system,Cataplexy,exact
Sodium Phenylbutyrate,Sodium Phenylbutyrate,214837.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,Cystic Fibrosis,exact
Sodium Phosphate,"Sod Phosphate,Monobasic-Dibas",36709.0,A06AD,Osmotically acting laxatives,Alimentary tract and metabolism,Constipation,exact
Sodium Polystyrene Sulfonate*,Sodium Polystyrene Sulfonate,56512.0,,,,Hyperkalemia,exact
Sodium Sulfacetamide-Sulfur,Sulfacetamide Sodium/Sulfur,690740.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Trachoma,approx
Sofosbuvir-Velpatasvir,Sofosbuvir/Velpatasvir,1799211.0,J05AP,Antivirals for treatment of HCV infections,Anti-infectives for systemic use,"Hepatitis C, Chronic",exact
Sogroya,Somapacitan-Beco,2557399.0,H01AC,Somatropin and somatropin agonists,Systemic hormonal preparations,,exact
Solifenacin Succinate,Solifenacin Succinate,322167.0,G04BD,Drugs for urinary frequency and incontinence,Genito-urinary system and sex hormones,"Urinary Incontinence, Urge",exact
Soliqua 100-33,Insulin Glargine/Lixisenatide,1869617.0,,,,Hyperglycemia,approx
Soliris,Eculizumab,680973.0,L04AJ,Complement inhibitors,Antineoplastic and immunomodulating agents,Myasthenia Gravis,exact
Solodyn,Minocycline HCl,630820.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Solosec,Secnidazole,1946693.0,P01AB,Nitroimidazole derivatives,Antiparasitic products,"Vaginosis, Bacterial",exact
Soltamox,Tamoxifen Citrate,498464.0,L02BA,Anti-estrogens,Antineoplastic and immunomodulating agents,Gynecomastia,exact
Solu-Cortef,Hydrocortisone Sod Succinate,203592.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Solu-Medrol,Methylprednisolone Sod Succ,203856.0,D07AA,"Corticosteroids, weak (group I)",Dermatologicals,Asthma,exact
Solu-Medrol*,Methylprednisolone Sod Succ/PF,203856.0,D07AA,"Corticosteroids, weak (group I)",Dermatologicals,Asthma,exact
Soma,Carisoprodol,204362.0,M03BA,Carbamic acid esters,Musculo-skeletal system,Pain,exact
Somatuline Depot,Lanreotide Acetate,1148752.0,,,,Acromegaly,approx
Somavert,PEGvisomant,356771.0,H01AX,Other anterior pituitary lobe hormones and analogues,Systemic hormonal preparations,Acromegaly,exact
Soolantra,IVermectin,1598069.0,D11AX,Other dermatologicals,Dermatologicals,Scabies,exact
Sorafenib,Sorafenib Tosylate,495881.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,Thyroid Neoplasms,exact
Sorilux,Calcipotriene,1020036.0,D05AX,Other antipsoriatics for topical use,Dermatologicals,Psoriasis,exact
Sorine,Sotalol HCl,284871.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Atrial Flutter,exact
Sotalol,Sotalol HCl,7008.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Atrial Flutter,exact
Sotalol Af,Sotalol HCl,647348.0,,,,Atrial Flutter,approx
Sotyktu,Deucravacitinib,2612093.0,L04AF,Janus-associated kinase (JAK) inhibitors,Antineoplastic and immunomodulating agents,Parapsoriasis,exact
Sotylize,Sotalol HCl,1593726.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Atrial Flutter,exact
Sovaldi,Sofosbuvir,1484917.0,J05AP,Antivirals for treatment of HCV infections,Anti-infectives for systemic use,"Hepatitis C, Chronic",exact
Spevigo,Spesolimab-Sbzo,2610424.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Spinosad,Spinosad,299081.0,,,,Lice Infestations,exact
Spinraza,Nusinersen Sodium/PF,1863561.0,M09AX,Other drugs for disorders of the musculo-skeletal system,Musculo-skeletal system,"Muscular Atrophy, Spinal",exact
Spiriva Handihaler,Tiotropium Bromide,2178173.0,,,,Pulmonary Emphysema,approx
Spiriva Respimat,Tiotropium Bromide,1721035.0,,,,Pulmonary Emphysema,approx
Spironolactone,Spironolactone,9997.0,C03DA,Aldosterone antagonists,Cardiovascular system,Edema,exact
Spironolactone-HCTZ,Spironolact/Hydrochlorothiazid,324042.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Sporanox,Itraconazole,202826.0,J02AC,Triazole and tetrazole derivatives,Anti-infectives for systemic use,Neutropenia,exact
Spravato,Esketamine HCl,2119382.0,N01AX,Other general anesthetics,Nervous system,"Depressive Disorder, Treatment-Resistant",exact
Sprintec,Norgestimate-Ethinyl Estradiol,352982.0,,,,Amenorrhea,approx
Spritam,Levetiracetam,1736038.0,N03AX,Other antiepileptics,Nervous system,"Epilepsies, Partial",exact
Sprix,Ketorolac Tromethamine,992421.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Pain,exact
Sprycel,Dasatinib,643170.0,L01EA,BCR-ABL tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,"Leukemia, Myeloid",exact
Sps*,Sodium Polystyrene Sulfon/Sorb,1799649.0,,,,Hyperkalemia,exact
Sronyx,Levonorgestrel/Ethin.Estradiol,2102426.0,,,,,approx
Ssd,Silver Sulfadiazine,219770.0,D06BA,Sulfonamides,Dermatologicals,Wound Infection,exact
Stalevo 100,Carbidopa/Levodopa/Entacapone,1423012.0,,,,,approx
Stalevo 125,Carbidopa/Levodopa/Entacapone,1423014.0,,,,,approx
Stalevo 150,Carbidopa/Levodopa/Entacapone,1423016.0,,,,,approx
Stalevo 200,Carbidopa/Levodopa/Entacapone,1423018.0,,,,,approx
Stalevo 50,Carbidopa/Levodopa/Entacapone,1423020.0,,,,,approx
Stalevo 75,Carbidopa/Levodopa/Entacapone,1423022.0,,,,,approx
Steglatro,Ertugliflozin Pidolate,1992811.0,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Alimentary tract and metabolism,,exact
Steglujan,Ertugliflozin/Sitagliptin Phos,1992827.0,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Alimentary tract and metabolism,,exact
Stelara*,Ustekinumab,853351.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Sterile Pads,Gauze Bandage,484736.0,,,,,approx
Stiolto Respimat,Tiotropium Br/Olodaterol HCl,1651275.0,R03AC,Selective beta-2-adrenoreceptor agonists,Respiratory system,Pulmonary Emphysema,approx
Stivarga,Regorafenib,1312403.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,Colorectal Neoplasms,exact
Strattera,Atomoxetine HCl,358330.0,N06BA,Centrally acting sympathomimetics,Nervous system,Attention Deficit Disorder with Hyperactivity,exact
Strensiq,Asfotase Alfa,1720264.0,A16AB,Enzymes,Alimentary tract and metabolism,Hypophosphatasia,exact
Streptomycin Sulfate,Streptomycin Sulfate,10109.0,A07AA,Antibiotics,Alimentary tract and metabolism,Plague,exact
Stribild,Elviteg/Cob/Emtri/Tenofo Disop,1306293.0,V03AX,Other therapeutic products,Various,HIV Infections,exact
Striverdi Respimat,Olodaterol HCl,1546064.0,R03AC,Selective beta-2-adrenoreceptor agonists,Respiratory system,Pulmonary Emphysema,exact
Stromectol,IVermectin,220057.0,D11AX,Other dermatologicals,Dermatologicals,Scabies,exact
Sublocade,Buprenorphine,1996185.0,N02AE,Oripavine derivatives,Nervous system,Pain,exact
Suboxone,Buprenorphine HCl/Naloxone HCl,352990.0,N02AE,Oripavine derivatives,Nervous system,Pain,exact
Subsys,Fentanyl,1237051.0,N01AH,Opioid anesthetics,Nervous system,Pain,exact
Subvenite,Lamotrigine,2001501.0,N03AX,Other antiepileptics,Nervous system,Seizures,exact
Subvenite (Orange),Lamotrigine,2003798.0,N03AX,Other antiepileptics,Nervous system,Seizures,approx
Sucraid,Sacrosidase,220065.0,A16AB,Enzymes,Alimentary tract and metabolism,Congenital Abnormalities,exact
Sucralfate,Sucralfate,10156.0,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Alimentary tract and metabolism,Gastritis,exact
Suflave,"PEG 3350/Sod Sulf,Chlr/Pot/Mag",2643842.0,,,,,approx
Sular,Nisoldipine,220081.0,C08CA,Dihydropyridine derivatives,Cardiovascular system,Hypertension,exact
Sulfacetamide Sodium*,Sulfacetamide Sodium,82101.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Trachoma,exact
Sulfacetamide-Prednisolone,Sulfacetamide/Prednisolone Sp,690161.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Trachoma,exact
Sulfadiazine,Sulfadiazine,10171.0,J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives",Anti-infectives for systemic use,Malaria,exact
Sulfamethoxazole-Trimethoprim*,Sulfamethoxazole/Trimethoprim,10831.0,J01EC,Intermediate-acting sulfonamides,Anti-infectives for systemic use,Otitis Media,exact
Sulfamylon,Mafenide Acetate,258054.0,D06BA,Sulfonamides,Dermatologicals,Wound Infection,exact
Sulfasalazine,Sulfasalazine,9524.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,"Arthritis, Juvenile",exact
Sulfasalazine Dr,Sulfasalazine,9524.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,"Arthritis, Juvenile",approx
Sulindac,Sulindac,10237.0,M01AB,Acetic acid derivatives and related substances,Musculo-skeletal system,Bursitis,exact
Sumatriptan,Sumatriptan,37418.0,N02CC,Selective serotonin (5HT1) agonists,Nervous system,Cluster Headache,exact
