Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Micardis,Telmisartan,218353.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Micardis HCT,Telmisartan/Hydrochlorothiazid,284780.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Miconazole 3,Miconazole Nitrate,352770.0,,,,Tinea Pedis,approx
Miconazole-Zinc Oxide-Petroltm,Miconazole Nitrate/Zinc Ox/Pet,1006920.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Eczema,approx
Microdot Insulin Pen Needle,"Pen Needle, Diabetic",637093.0,,,,,approx
Microgestin,Norethindrone Ac-Eth Estradiol,605974.0,,,,,approx
Microgestin 24 Fe,Norethindrone-E.Estradiol-Iron,1721965.0,B03AA,"Iron bivalent, oral preparations",Blood and blood forming organs,"Anemia, Iron-Deficiency",approx
Microgestin Fe,Norethindrone-E.Estradiol-Iron,1922309.0,,,,,approx
Midazolam HCl,Midazolam HCl/PF,142441.0,N05CD,Benzodiazepine derivatives,Nervous system,Anxiety Disorders,exact
Midazolam HCl*,Midazolam HCl,142441.0,N05CD,Benzodiazepine derivatives,Nervous system,Anxiety Disorders,exact
Midodrine HCl,Midodrine HCl,6963.0,C01CA,Adrenergic and dopaminergic agents,Cardiovascular system,Urinary Incontinence,exact
Miebo,Perfluorohexyloctane/PF,2637552.0,,,,Dry Eye Syndromes,exact
Migergot,Ergotamine Tartrate/Caffeine,218377.0,D11AX,Other dermatologicals,Dermatologicals,Apnea,exact
Miglitol,Miglitol,30009.0,A10BF,Alpha glucosidase inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Miglustat,Miglustat,402316.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,Gaucher Disease,exact
Migranal,Dihydroergotamine Mesylate,42643.0,N02CA,Ergot alkaloids,Nervous system,Xerostomia,exact
Mili,Norgestimate-Ethinyl Estradiol,2049173.0,,,,Amenorrhea,approx
Millipred,Prednisolone,795094.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Edema,exact
Milrinone In 5% Dextrose,Milrinone Lactate/D5W,52769.0,C01CE,Phosphodiesterase inhibitors,Cardiovascular system,Heart Failure,approx
Milrinone Lactate,Milrinone Lactate,155120.0,C01CE,Phosphodiesterase inhibitors,Cardiovascular system,Heart Failure,exact
Mimvey,Estradiol/Norethindrone Acet,997540.0,,,,,approx
Minastrin 24 Fe,Norethindrone-E.Estradiol-Iron,1433264.0,,,,,approx
Mini Pen Needle,"Pen Needle, Diabetic",1539135.0,,,,,approx
